Show ID,Show,Date,Venue,Band,Band ID,Memorable Set,Notes
12,Alexisonfire Winter Tour,12/17/2010,Rebel (Sound Academy),Alexisonfire,7,,
12,Alexisonfire Winter Tour,12/17/2010,Rebel (Sound Academy),Norma Jean,151,,
12,Alexisonfire Winter Tour,12/17/2010,Rebel (Sound Academy),La Dispute,152,,
13,"Alexisonfire ""Farewell"" Tour",12/30/2012,Copps Coliseum,Alexisonfire,7,,
13,"Alexisonfire ""Farewell"" Tour",12/30/2012,Copps Coliseum,Moneen,153,,
14,Riot Fest 2015,9/19/2015,Downsview Park,Alexisonfire,7,,
14,Riot Fest 2015,9/19/2015,Downsview Park,Mötorhead,85,,
15,Blackdiamondskye Tour,9/18/2010,Budweiser Stage (Molson Amphitheatre),Mastodon,81,,
15,Blackdiamondskye Tour,9/18/2010,Budweiser Stage (Molson Amphitheatre),Alice in Chains,8,,
15,Blackdiamondskye Tour,9/18/2010,Budweiser Stage (Molson Amphitheatre),Deftones,37,,
16,AP Tour 2008,4/5/2008,The Phoenix,All Time Low,9,,
16,AP Tour 2008,4/5/2008,The Phoenix,Sonny Moore,154,X,That time where Matt and I didn't move out of the way for Skrillex mid-set because we thought he was a dwarf
16,AP Tour 2008,4/5/2008,The Phoenix,The Matches,155,,
16,AP Tour 2008,4/5/2008,The Phoenix,Forever the Sickest Kids,156,,
17,"The Compromising of Integrity, Morality & Principles in Exchange for Money Tour",11/23/2008,Kool Haus,All Time Low,9,,
17,"The Compromising of Integrity, Morality & Principles in Exchange for Money Tour",11/23/2008,Kool Haus,The Maine,159,,
17,"The Compromising of Integrity, Morality & Principles in Exchange for Money Tour",11/23/2008,Kool Haus,Mayday Parade,158,,
18,California Tour,8/21/2016,Budweiser Stage (Molson Amphitheatre),Blink-182,23,X,"Matt rallied a huge group of his friends to join him for his dream lineup, then he fucked up his leg so we went without him lol"
18,California Tour,8/21/2016,Budweiser Stage (Molson Amphitheatre),A Day to Remember,35,,
18,California Tour,8/21/2016,Budweiser Stage (Molson Amphitheatre),All Time Low,9,,
